 input list : 
x 	 y 	 pValue 
3844 	 3265 	 43
3845 	 3264 	 201
3845 	 3263 	 99
3846 	 3263 	 62
3846 	 3264 	 238
3847 	 3264 	 39
3846 	 3265 	 633
3845 	 3265 	 346
3845 	 3266 	 452
3846 	 3266 	 1522
3847 	 3265 	 212
3847 	 3266 	 498
3848 	 3266 	 52
3847 	 3267 	 563
3846 	 3267 	 1084
3845 	 3267 	 276
3845 	 3268 	 105
3846 	 3268 	 581
3847 	 3268 	 505
3848 	 3267 	 50
3848 	 3268 	 76
3847 	 3269 	 595
3846 	 3269 	 272
3846 	 3270 	 301
3847 	 3270 	 1958
3848 	 3269 	 205
3848 	 3270 	 1147
3849 	 3270 	 126
3848 	 3271 	 1501
3847 	 3271 	 1990
3846 	 3271 	 321
3846 	 3272 	 85
3847 	 3272 	 572
3848 	 3272 	 600
3849 	 3271 	 137
3849 	 3272 	 112
3848 	 3273 	 754
3847 	 3273 	 362
3846 	 3273 	 44
3847 	 3274 	 240
3848 	 3274 	 733
3849 	 3273 	 185
3849 	 3274 	 301
3848 	 3275 	 598
3847 	 3275 	 97
3847 	 3276 	 53
3848 	 3276 	 352
3849 	 3275 	 384
3850 	 3275 	 34
3849 	 3276 	 449
3850 	 3276 	 84
3849 	 3277 	 448
3848 	 3277 	 208
3848 	 3278 	 209
3849 	 3278 	 727
3850 	 3277 	 120
3850 	 3278 	 444
3851 	 3278 	 35
3850 	 3279 	 654
3849 	 3279 	 912
3848 	 3279 	 164
3848 	 3280 	 76
3849 	 3280 	 486
3850 	 3280 	 662
3851 	 3279 	 57
3851 	 3280 	 117
3850 	 3281 	 574
3849 	 3281 	 269
3849 	 3282 	 123
3850 	 3282 	 606
3851 	 3281 	 138
3851 	 3282 	 318
3852 	 3282 	 42
3851 	 3283 	 1018
3850 	 3283 	 1155
3849 	 3283 	 177
3849 	 3284 	 113
3850 	 3284 	 868
3851 	 3284 	 1088
3852 	 3283 	 115
3852 	 3284 	 136
3851 	 3285 	 508
3850 	 3285 	 265
3849 	 3285 	 35
3850 	 3286 	 143
3851 	 3286 	 602
3852 	 3285 	 183
3852 	 3286 	 261
3851 	 3287 	 458
3850 	 3287 	 62
3851 	 3288 	 400
3852 	 3287 	 436
3853 	 3287 	 67
3852 	 3288 	 703
3853 	 3288 	 125
3852 	 3289 	 889
3851 	 3289 	 329
3851 	 3290 	 160
3852 	 3290 	 566
3853 	 3289 	 263
3853 	 3290 	 355
3852 	 3291 	 380
3851 	 3291 	 65
3852 	 3292 	 252
3853 	 3291 	 376
3854 	 3291 	 58
3853 	 3292 	 373
3854 	 3292 	 69
3853 	 3293 	 433
3852 	 3293 	 163
3852 	 3294 	 99
3853 	 3294 	 473
3854 	 3293 	 164
3854 	 3294 	 270
3855 	 3294 	 37
3854 	 3295 	 362
3853 	 3295 	 376
3852 	 3295 	 48
3852 	 3296 	 39
3853 	 3296 	 293
3854 	 3296 	 642
3855 	 3295 	 37
3855 	 3296 	 171
3854 	 3297 	 888
3853 	 3297 	 221
3853 	 3298 	 109
3854 	 3298 	 596
3855 	 3297 	 322
3855 	 3298 	 353
3856 	 3298 	 59
3855 	 3299 	 499
3854 	 3299 	 423
3853 	 3299 	 63
3854 	 3300 	 294
3855 	 3300 	 647
3856 	 3299 	 77
3856 	 3300 	 157
3855 	 3301 	 917
3854 	 3301 	 255
3854 	 3302 	 135
3855 	 3302 	 643
3856 	 3301 	 381
3857 	 3301 	 36
3856 	 3302 	 348
3857 	 3302 	 40
3856 	 3303 	 417
3855 	 3303 	 322
3854 	 3303 	 43
3855 	 3304 	 286
3856 	 3304 	 748
3857 	 3303 	 84
3857 	 3304 	 237
3856 	 3305 	 1388
3855 	 3305 	 292
3855 	 3306 	 134
3856 	 3306 	 548
3857 	 3305 	 555
3858 	 3305 	 37
3857 	 3306 	 319
3858 	 3306 	 58
3857 	 3307 	 497
3856 	 3307 	 332
3855 	 3307 	 40
3855 	 3308 	 37
3856 	 3308 	 547
3857 	 3308 	 1445
3858 	 3307 	 116
3858 	 3308 	 375
3857 	 3309 	 1313
3856 	 3309 	 359
3856 	 3310 	 80
3857 	 3310 	 377
3858 	 3309 	 434
3859 	 3309 	 39
3858 	 3310 	 257
3859 	 3310 	 40
3858 	 3311 	 474
3857 	 3311 	 240
3857 	 3312 	 155
3858 	 3312 	 517
3859 	 3311 	 84
3859 	 3312 	 127
3858 	 3313 	 532
3857 	 3313 	 68
3857 	 3314 	 64
3858 	 3314 	 559
3859 	 3313 	 276
3859 	 3314 	 492
3860 	 3314 	 51
3859 	 3315 	 439
3858 	 3315 	 235
3858 	 3316 	 127
3859 	 3316 	 470
3860 	 3315 	 64
3860 	 3316 	 134
3859 	 3317 	 677
3858 	 3317 	 62
3858 	 3318 	 63
3859 	 3318 	 530
3860 	 3317 	 307
3860 	 3318 	 475
3861 	 3318 	 46
3860 	 3319 	 841
3859 	 3319 	 467
3859 	 3320 	 264
3860 	 3320 	 953
3861 	 3319 	 126
3861 	 3320 	 222
3860 	 3321 	 519
3859 	 3321 	 104
3859 	 3322 	 43
3860 	 3322 	 343
3861 	 3321 	 256
3861 	 3322 	 345
3860 	 3323 	 248
3859 	 3323 	 44
3860 	 3324 	 103
3861 	 3323 	 579
3862 	 3323 	 91
3861 	 3324 	 510
3862 	 3324 	 133
3861 	 3325 	 370
3860 	 3325 	 45
3861 	 3326 	 369
3862 	 3325 	 171
3862 	 3326 	 458
3863 	 3326 	 37
3862 	 3327 	 671
3861 	 3327 	 263
3861 	 3328 	 125
3862 	 3328 	 637
3863 	 3327 	 105
3863 	 3328 	 151
3862 	 3329 	 383
3861 	 3329 	 49
3862 	 3330 	 320
3863 	 3329 	 218
3863 	 3330 	 424
3864 	 3330 	 56
3863 	 3331 	 956
3862 	 3331 	 367
3862 	 3332 	 163
3863 	 3332 	 797
3864 	 3331 	 135
3864 	 3332 	 191
3863 	 3333 	 532
3862 	 3333 	 54
3862 	 3334 	 40
3863 	 3334 	 393
3864 	 3333 	 338
3864 	 3334 	 518
3865 	 3334 	 46
3864 	 3335 	 882
3863 	 3335 	 245
3863 	 3336 	 140
3864 	 3336 	 774
3865 	 3335 	 116
3865 	 3336 	 225
3864 	 3337 	 1290
3863 	 3337 	 65
3864 	 3338 	 466
3865 	 3337 	 762
3866 	 3337 	 39
3865 	 3338 	 671
3866 	 3338 	 47
3865 	 3339 	 682
3864 	 3339 	 153
3864 	 3340 	 94
3865 	 3340 	 819
3866 	 3339 	 95
3866 	 3340 	 238
3865 	 3341 	 814
3864 	 3341 	 49
3865 	 3342 	 357
3866 	 3341 	 524
3866 	 3342 	 594
3867 	 3342 	 36
3866 	 3343 	 738
3865 	 3343 	 147
3865 	 3344 	 67
3866 	 3344 	 730
3867 	 3343 	 104
3867 	 3344 	 240
3866 	 3345 	 874
3865 	 3345 	 46
3866 	 3346 	 583
3867 	 3345 	 689
3868 	 3345 	 43
3867 	 3346 	 1255
3868 	 3346 	 78
3867 	 3347 	 859
3866 	 3347 	 192
3866 	 3348 	 62
3867 	 3348 	 620
3868 	 3347 	 100
3868 	 3348 	 225
3867 	 3349 	 657
3868 	 3349 	 537
3867 	 3350 	 371
3868 	 3350 	 844
3867 	 3351 	 95
3868 	 3351 	 682
3869 	 3351 	 83
3868 	 3352 	 629
3867 	 3352 	 35
3868 	 3353 	 424
3869 	 3352 	 180
3869 	 3353 	 510
3868 	 3354 	 332
3869 	 3354 	 800
3870 	 3354 	 39
3869 	 3355 	 678
3868 	 3355 	 82
3869 	 3356 	 543
3870 	 3355 	 67
3870 	 3356 	 261
3869 	 3357 	 812
3870 	 3357 	 680
3869 	 3358 	 146
3870 	 3358 	 441
3869 	 3359 	 40
3870 	 3359 	 568
3871 	 3359 	 98
3870 	 3360 	 826
3871 	 3360 	 277
3870 	 3361 	 445
3871 	 3361 	 581
3870 	 3362 	 173
3871 	 3362 	 734
3870 	 3363 	 40
3871 	 3363 	 461
3872 	 3363 	 61
3871 	 3364 	 575
3872 	 3364 	 242
3871 	 3365 	 326
3872 	 3365 	 231
3871 	 3366 	 69
3872 	 3366 	 617
3871 	 3367 	 42
3872 	 3367 	 870
3873 	 3367 	 65
3872 	 3368 	 715
3873 	 3368 	 266
3872 	 3369 	 695
3873 	 3369 	 919
3872 	 3370 	 128
3873 	 3370 	 695
3873 	 3371 	 687
3874 	 3371 	 80
3873 	 3372 	 585
3874 	 3372 	 308
3875 	 3372 	 1123
3876 	 3371 	 436
3877 	 3370 	 46
3878 	 3370 	 416
3879 	 3369 	 77
3880 	 3369 	 41
3879 	 3370 	 510
3880 	 3370 	 179
3879 	 3371 	 352
3878 	 3371 	 949
3877 	 3371 	 1568
3876 	 3372 	 1353
3877 	 3372 	 408
3875 	 3373 	 412
3874 	 3373 	 1664
3873 	 3373 	 597
3873 	 3374 	 159
3874 	 3374 	 1150
3874 	 3375 	 961
3875 	 3375 	 90
3874 	 3376 	 645
3875 	 3376 	 252
3874 	 3377 	 265
3875 	 3377 	 522
3874 	 3378 	 77
3875 	 3378 	 594
3875 	 3379 	 1619
3876 	 3379 	 238
3875 	 3380 	 950
3876 	 3380 	 443
3875 	 3381 	 361
3876 	 3381 	 785
3875 	 3382 	 70
3876 	 3382 	 798
3876 	 3383 	 919
3877 	 3383 	 95
3876 	 3384 	 670
3877 	 3384 	 321
3876 	 3385 	 236
3877 	 3385 	 484
3876 	 3386 	 71
3877 	 3386 	 1010
3877 	 3387 	 1166
3878 	 3387 	 193
3877 	 3388 	 1727
3878 	 3388 	 571
3877 	 3389 	 498
3878 	 3389 	 1324
3877 	 3390 	 62
3878 	 3390 	 778
3878 	 3391 	 2218
